Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,46,,,,11.9.6
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,46,,,,11.9.7
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,46,,,,11.9.8
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,54,,,,11.9.9
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,56,,,,11.9.10
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,57,,,,11.9.11
Training and education,GRI 3: Material Topics 2021,3-3 Management of material topics,"30, 47",,,,11.10.1
Training and education,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,,OK-Q8 AB does not report on average training hours.,Information unavailable.,OK-Q8 AB will investigate how to report on training going forward.,"11.10.6, 11.11.4"
Training and education,GRI 404: Training and Education 2016,404-2 Programmes for upgrading employee skills and transition assistance programmes,30,,,,11.10.7
Training and education,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,52-53,,,,
Diversity and equal opportunity,GRI 3: Material Topics 2021,3-3 Management of material topics,"28-31, 47",,,,11.11.1
Diversity and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,52,,,,11.11.5
Diversity and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,31,Not fully reported.,Information unavailable.,OK-Q8 AB will investigate how to report on salaries with regards to our different types of employment.,11.11.6
Non-discrimination,GRI 3: Material Topics 2021,3-3 Management of material topics,"28-31, 47",,,,11.11.1
Non-discrimination,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,53,,,,11.11.7
Freedom of association and collective bargaining,GRI 3: Material Topics 2021,3-3 Management of material topics,"21-23, 28-31, 47",,,,11.13.1
Freedom of association and collective bargaining,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"21-23, 52",Not fully reported.,Information incomplete.,We plan to commence screening of suppliers not included in EcoVadis from 2024.,11.13.2
Forced or compulsory labour,GRI 3: Material Topics 2021,3-3 Management of material topics,"21-23, 28-31, 47",,,,11.12.1
Forced or compulsory labour,GRI 409: Forced or Compulsory Labour 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labour,"21-23, 42-47",Not fully reported.,Information incomplete.,We plan to commence screening of suppliers not included in EcoVadis from 2024.,11.12.2
Supplier social assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,"21-23, 42-47",,,,11.10.1
Supplier social assessment,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,22-23,Not fully reported.,Information incomplete.,OK-Q8 AB cannot track the number of new suppliers out of total number of suppliers in our supplier assessment tool EcoVadis.,"11.10.8, 11.12.3"
Supplier social assessment,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,42-47,,,,11.10.9
