Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
"Diversity, Equity, and Inclusion",GRI 405: Diversity and Equal Opportunity 2016,Disclosure 405-1 Diversity of governance bodies and employees,"Diversity, Equity, and Inclusion Page 70 to 71",,,,
"Diversity, Equity, and Inclusion",GRI 405: Diversity and Equal Opportunity 2016,Optional: Disclosure 405-2 Ratio of basic salary and remuneration of women to men,"Diversity, Equity, and Inclusion Page 70 to 71",,,,
Employment Practices & Development,GRI 3: Material Topics 2021,3-3 Management of material topics,Building Our Employees Capacity Page 63 to 64,,,,
Employment Practices & Development,GRI 404: Training and Education 2016,Disclosure 404-1 Average hours of training per year per employee,Building Our Employees Capacity Page 63 to 64,,,,
Employment Practices & Development,GRI 404: Training and Education 2016,Disclosure 404-2 Programs for upgrading employee skills and transition assistance programs,Building Our Employees Capacity Page 63 to 64,,,,
Employment Practices & Development,GRI 404: Training and Education 2016,Disclosure 404-3 Percentage of employees receiving regular performance and career development reviews,Building Our Employees Capacity Page 63 to 64,,,,
Local Community & Social Investments,GRI 3: Material Topics 2021,3-3 Management of material topics,Community Investment and Development Page 80 to 84,,,,
Local Community & Social Investments,GRI 413: Local Communities 2016,"Disclosure 413-1 Operations with local community engagement, impact assessments, and development programs",Community Investment and Development Page 80 to 84,,,,
Local Community & Social Investments,GRI 413: Local Communities 2016,Disclosure 413-2 Operations with significant actual and potential negative impacts on local communities,Community Investment and Development Page 80 to 84,,,,
Human Right Protection & Labour Management,GRI 3: Material Topics 2021,3-3 Management of material topics,Guidance to ethical practices Page 31,,,,
Asset Integrity & Critical Incident Management,GRI 3: Material Topics 2021,3-3 Management of material topics,Building Our Employees Capacity Page 57,,,,
Supply Chain Management & ICV,GRI 3: Material Topics 2021,3-3 Management of material topics,Reinforce our Business Practices Page 35 to 37 & Community Investment and Development Page 80 to 84,,,,
Business Ethics & Anti-corruption,GRI 3: Material Topics 2021,3-3 Management of material topics,Reinforce our Business Practices Page 31,,,,
Sustainable Finance,GRI 3: Material Topics 2021,3-3 Management of material topics,Reinforce our Business Practices Page 38,,,,
"Agility, Innovation, & Digital Transformation",GRI 3: Material Topics 2021,3-3 Management of material topics,Reinforce our Business Practices Page 33,,,,
Cybersecurity and Data Privacy,GRI 3: Material Topics 2021,3-3 Management of material topics,Safeguarding Our Digital Frontier Page 34,,,,
