unit_id,standard_id,standard_name,standard_type,disclosure_id,disclosure_name,requirement_id,requirement_text,requirement_type,is_omittable,year,hierarchy_level,parent_requirement
GRI102-2025-D102-1-Rc,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,c,report the total expenditure incurred by the implementation of the transition plan as monetary value and percentage of the total expenditure incurred in the reporting period;,shall,True,2025,1,
GRI102-2025-D102-1-Rd,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,d,report the governance bodies or individual roles responsible for overseeing and implementing the transition plan and their responsibilities;,shall,True,2025,1,
GRI102-2025-D102-1-Re,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,e,describe how the transition plan is embedded in its business strategy;,shall,True,2025,1,
GRI102-2025-D102-1-Rf-i,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,f.i,"report the targets to achieve the transition plan and progress toward them, including: GHG emissions reduction targets reported under Disclosure 102-4;",shall,True,2025,2,f
GRI102-2025-D102-1-Rf-ii,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,f.ii,"report the targets to achieve the transition plan and progress toward them, including: targets to phase out fossil fuels, the base year, and standards, methodologies, and assumptions used to set the targets;",shall,True,2025,2,f
GRI102-2025-D102-1-Rf-iii,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,f.iii,"report the targets to achieve the transition plan and progress toward them, including: other climate change mitigation targets, how these were set, what is covered, the base year, and their role within the transition plan;",shall,True,2025,2,f
GRI102-2025-D102-1-Rg,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,g,describe how the transition plan aligns with just transition principles and how engagement with stakeholders informs its development and implementation;,shall,True,2025,1,
GRI102-2025-D102-1-Rh-i,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,h.i,"describe the impacts on people and the environment from implementing the transition plan and the actions taken to manage them, including: workers, local communities, and Indigenous Peoples;",shall,True,2025,2,h
GRI102-2025-D102-1-Rh-ii,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,h.ii,"describe the impacts on people and the environment from implementing the transition plan and the actions taken to manage them, including: biodiversity;",shall,True,2025,2,h
GRI102-2025-D102-1-Rh-i,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,h.i,"describe the impacts on people and the environment from implementing the transition plan and the actions taken to manage them, including: describe how its public policy activities, including lobbying activities, are consistent with the transition plan;",shall,True,2025,2,h
GRI102-2025-D102-1-Rj,GRI 102,Climate Change,topic,102-1,Transition plan for climate change mitigation,j,"explain, in the absence of a transition plan, why it does not exist, and describe the steps being taken to develop it and the expected time frame.",shall,True,2025,1,
GRI102-2025-D102-2-Ra,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,a,describe the impacts on people and the environment associated with its climate change-related risks and opportunities and how they were considered in the development of the adaptation plan;,shall,True,2025,1,
GRI102-2025-D102-2-Rb-i,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,b.i,"describe its adaptation plan, including: policies and actions to adapt to climate change;",shall,True,2025,2,b
GRI102-2025-D102-2-Rb-ii,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,b.ii,"describe its adaptation plan, including: the source of the climate change-related scenarios used, the temperature projection included in the scenarios, and the methodologies and assumptions used to develop the adaptation plan;",shall,True,2025,2,b
GRI102-2025-D102-2-Rb-iii,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,b.iii,"describe its adaptation plan, including: the total expenditure incurred by the implementation of the adaptation plan as monetary value and percentage of the total expenditure incurred in the reporting period;",shall,True,2025,2,b
GRI102-2025-D102-2-Rb-iv,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,b.iv,"describe its adaptation plan, including: the governance bodies or individual roles responsible for overseeing and implementing the adaptation plan and their responsibilities;",shall,True,2025,2,b
GRI102-2025-D102-2-Rb-v,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,b.v,"describe its adaptation plan, including: the targets to achieve the adaptation plan and progress toward them;",shall,True,2025,2,b
GRI102-2025-D102-2-Rb-vi,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,b.vi,"describe its adaptation plan, including: how the adaptation plan aligns with just transition principles and how engagement with stakeholders informs its development and implementation;",shall,True,2025,2,b
GRI102-2025-D102-2-Rc-i,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,c.i,"describe the impacts on people and the environment from implementing the adaptation plan and the actions taken to manage them, including for: workers, local communities, and Indigenous Peoples;",shall,True,2025,2,c
GRI102-2025-D102-2-Rc-ii,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,c.ii,"describe the impacts on people and the environment from implementing the adaptation plan and the actions taken to manage them, including for: biodiversity;",shall,True,2025,2,c
GRI102-2025-D102-2-Rd,GRI 102,Climate Change,topic,102-2,Climate change adaptation plan,d,"explain, in the absence of an adaptation plan, why it does not exist, and describe the steps being taken to develop it and the expected time frame.",shall,True,2025,1,
GRI102-2025-D102-3-Ra-i,GRI 102,Climate Change,topic,102-3,Just transition,a.i,report the total number of new employees recruited and a breakdown of this total by: gender;,shall,True,2025,2,a
GRI102-2025-D102-3-Ra-ii,GRI 102,Climate Change,topic,102-3,Just transition,a.ii,report the total number of new employees recruited and a breakdown of this total by: employee type;,shall,True,2025,2,a
GRI102-2025-D102-3-Rb-i,GRI 102,Climate Change,topic,102-3,Just transition,b.i,report the total number of employees whose work was terminated and a breakdown of this total by: gender;,shall,True,2025,2,b
GRI102-2025-D102-3-Rb-ii,GRI 102,Climate Change,topic,102-3,Just transition,b.ii,report the total number of employees whose work was terminated and a breakdown of this total by: employee type;,shall,True,2025,2,b
GRI102-2025-D102-3-Rc-i,GRI 102,Climate Change,topic,102-3,Just transition,c.i,report the total number of redeployed employees and a breakdown of this total by: gender;,shall,True,2025,2,c
GRI102-2025-D102-3-Rc-ii,GRI 102,Climate Change,topic,102-3,Just transition,c.ii,report the total number of redeployed employees and a breakdown of this total by: employee type;,shall,True,2025,2,c
