Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Procurement and Supplier Assessment,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,75,,,,
Procurement and Supplier Assessment,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,Not disclosed,,Confidentiality constraints,Due to internal policies in place,
Procurement and Supplier Assessment,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,75,,,,"11.10.8, 11.12.3"
Procurement and Supplier Assessment,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,Not disclosed,,Confidentiality constraints,Due to internal policies in place,11.10.9
Recruitment and Retention,GRI 3: Material Topics 2021,3-3 Management of material topics,"54, 55",,,,"11.10.1, 11.11.1"
Recruitment and Retention,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,55,,,,11.10.2
Recruitment and Retention,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,59,,,,11.10.3
Recruitment and Retention,GRI 401: Employment 2016,401-3 Parental leave,59,,,,"11.10.4, 11.11.3"
Occupational Health and Safety,GRI 3: Material Topics 2021,3-3 Management of material topics,"46, 49, 52",,,,11.9.1
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,46,,,,11.9.2
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation","48, 52",,,,11.9.3
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,46,,,,11.9.4
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety",46,,,,11.9.5
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,49,,,,11.9.6
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,46,,,,11.9.7
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,52,,,,11.9.8
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,46,,,,11.9.9
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,47,,,,11.9.10
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,47,,,,11.9.11
Development and Training,GRI 3: Material Topics 2021,3-3 Management of material topics,"56, 57",,,,"11.10.1, 11.11.1"
Development and Training,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,57,,,,"11.10.6, 11.11.4"
Development and Training,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,"56, 57",,,,11.10.7
Development and Training,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,57,,,,
Community Engagement,GRI 3: Material Topics 2021,3-3 Management of material topics,"78, 79",,,,11.15.1
Community Engagement,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",79,,,,11.15.2
Community Engagement,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,Not disclosed,,Information unavailable/incomplete,"We currently do not have an impact assessment tool in place, but it is planned for development in the future.",11.15.3
Product Stewardship,GRI 3: Material Topics 2021,3-3 Management of material topics,43,,,,11.3.1
Product Stewardship,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,43,,,,11.3.3
Product Stewardship,GRI 416: Customer Health and Safety 2016,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,Not disclosed,,Confidentiality constraints,"Due to company policies, it cannot be shared.",
Customer Feedback and Satisfaction,GRI 3: Material Topics 2021,3-3 Management of material topics,73,,,,
Customer Feedback and Satisfaction,GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,73,,,,
Engagement and Satisfaction,GRI 3: Material Topics 2021,3-3 Management of material topics,58,,,,11.10.1
Engagement and Satisfaction,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,Not disclosed,,Confidentiality constraints,Due to concerns about sensitive business decisions that could impact workforce stability or competitive positioning.,11.10.5
Inclusion and Equality,GRI 3: Material Topics 2021,3-3 Management of material topics,60,,,,11.11.1
Inclusion and Equality,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,Not disclosed,,Confidentiality constraints,Due to internal policies but it can be disclosed in the future.,11.11.7
Climate Change (Policy and Strategy),GRI 3: Material Topics 2021,3-3 Management of material topics,30,,,,
Legal Compliance,GRI 3: Material Topics 2021,3-3 Management of material topics,"67, 68",,,,
Benefits to Local Communities,GRI 3: Material Topics 2021,3-3 Management of material topics,78,,,,
Volunteering and Charities,GRI 3: Material Topics 2021,3-3 Management of material topics,"78, 79",,,,
Human Rights,GRI 3: Material Topics 2021,3-3 Management of material topics,72,,,,
Innovation,GRI 3: Material Topics 2021,3-3 Management of material topics,74,,,,
