Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Leading Employment Practices,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,Page 34: Leading Employment Practices,,,,11.10.3
Leading Employment Practices,GRI 401: Employment 2016,401-3 Parental leave,Page 34: Leading Employment Practices,,,,"11.10.4, 11.11.3"
Governance & Business Ethics,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 50-51: Anti-corruption & Fraud,,,,11.20.1
Governance & Business Ethics,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,Page 50-51: Anti-corruption & Fraud,,,,11.20.2
Governance & Business Ethics,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,Page 50-51: Anti-corruption & Fraud,,,,11.20.3
Governance & Business Ethics,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,Page 50-51: Anti-corruption & Fraud,,,,11.20.4
Cyber Security,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 56: Information Technology,,,,
Cyber Security,GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,Page 56: Information Technology,,,,
Responsible Procurement,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 55: Responsible Procurement,,,,11.14.1
Responsible Procurement,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,Page 55: Responsible Procurement,,,,11.10.8
Responsible Procurement,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,Page 55: Responsible Procurement,,,,11.10.9
Responsible Procurement,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,Page 55: Investing in National Suppliers,,,,11.14.6
"Strategy, Purpose, & Financial Resilience",GRI 3: Material Topics 2021,3-3 Management of material topics,Page 53: Sustaining Financial Resilience,,,,11.14.1
Innovation & Digital Transformation,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 57: Innovation & Digital Transformation,,,,
Stakeholder Relations & Partnerships,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 71: Mapping our key stakeholders,,,,
Reliable & Efficient Operations,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 52: Reliable & Efficient Operations,,,,
National Talent Enhancement,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 37: National Talent Enhancement,,,,
Low Carbon Energy Solutions,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 11-12: Energy Transition & Climate Impact,,,,
Climate Change & Energy Transition,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 11-12: Energy Transition & Climate Impact,,,,
