Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Employment Practices,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,"5. Society; 5.1 Employment practices and Labor Conditions; p. 87, 89,90; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 122",,,,11.10.6
Employment Practices,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,5. Society; 5.1 Employment practices and Labor Conditions; p. 87-88,,,,11.10.7
Employment Practices,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,,,Information unavailable,"DESFA applied a Vendor Qualification Process, which was in a pilot phase during 2024 for selected suppliers. DESFA aims to include the requirements of the indicator in future reporting period.",11.10.8
Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,,,,Non-material,"OHS risks are managed through established safety protocols and compliance frameworks; incidents are rare and financial exposure is contained via insurance and regulatory mechanisms, preventing materiality.","11.9.1, 11.9.2, 11.9.3, 11.9.4, 11.9.5, 11.9.6, 11.9.7, 11.9.8, 11.9.9, 11.9.10, 11.9.11"
Non-discrimination and Equal Opportunity,GRI 405: Diversity and Equal Opportunity 2016; GRI 406: Non-discrimination 2016,,,,Non-material,"Policies and controls ensure compliance with EU labor standards; isolated cases have limited scope and remediability, making systemic risk or significant stakeholder impact unlikely.","11.11.1, 11.11.2, 11.11.3, 11.11.4, 11.11.5, 11.11.6, 11.11.7"
Forced Labor and Modern Slavery,GRI 409: Forced or Compulsory Labor 2016,,,,Non-material,DESFA operates in a highly regulated EU and national context with strong due diligence and supplier controls; risk occurrence is rare and financial or reputational exposure remains immaterial.,"11.12.1, 11.12.2, 11.12.3"
Rights of Indigenous Peoples,GRI 411: Rights of Indigenous Peoples 2016,,,,Non-material,"Operations are located in Greece, where indigenous rights issues are not present; no interaction with indigenous communities eliminates potential impact or financial relevance.","11.17.1, 11.17.2, 11.17.3, 11.17.4"
Business Conduct & Compliance,GRI 3: Material Topics 2021,3-3 Management of material topics,"6. Governance and Ethics; 6.2 Ethics, Integrity and Business Conduct; p. 108-112",,,,"11.19.1, 11.20.1, 11.22.1"
Business Conduct & Compliance,GRI 201: Economic Performance 2016,201-4 Financial assistance received from government,"6. Governance and Ethics; 6.2 Ethics, Integrity and Business Conduct; p. 111; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 127",,,,11.21.3
Business Conduct & Compliance,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 127,,,,11.20.2
Business Conduct & Compliance,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,"6. Governance and Ethics; 6.2 Ethics, Integrity and Business Conduct; p. 110",,,,11.20.3
Business Conduct & Compliance,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,"6. Governance and Ethics; 6.2 Ethics, Integrity and Business Conduct; p. 110; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 127",,,,11.20.4
Business Conduct & Compliance,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","6. Governance and Ethics; 6.2 Ethics, Integrity and Business Conduct; p. 111; 7. Performance Data and Standards; 7.1 ESG Key Performance Indicators (KPIs); p. 127",,,,11.19.2
Business Conduct & Compliance,GRI 415: Public Policy 2016,415-1 Political contributions,"6. Governance and Ethics; 6.2 Ethics, Integrity and Business Conduct; p. 110-111",,,,11.22.2
Responsible Procurement,GRI 3: Material Topics 2021,3-3 Management of material topics,6. Governance and Ethics; 6.3 Responsible Procurement; p. 113,,,,11.13.1
Responsible Procurement,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,6. Governance and Ethics; 6.3 Responsible Procurement; p. 113,,,,11.13.2
Responsible Procurement,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,6. Governance and Ethics; 6.3 Responsible Procurement; p. 113,,,,11.10.9
Cybersecurity and Data Protection,GRI 3: Material Topics 2021,3-3 Management of material topics,6. Governance and Ethics; 6.4 Cybersecurity and Data Protection; p. 114-115,,,,No reference
Cybersecurity and Data Protection,GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,6. Governance and Ethics; 6.4 Cybersecurity and Data Protection; p. 115; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 128,,,,No reference
Conflict and Security,GRI 410: Security Practices 2016,,,,Non-material,"DESFA’s activities occur in a stable geopolitical environment; security risks are minimal and mitigated through emergency planning and insurance, with no material financial or social implications.","11.18.1, 11.18.2"
