Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Human rights,GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,"During the reporting period, there were no incidentes of violations of indigenous peoples' rights in our operation.",,,,11.17.2
Ethics and transparency,GRI 3: Material Topics 2021,3-3 Management of material topics,68,,,,"11.20.1, 11.21.1"
Ethics and transparency,GRI 205: Anti-Corruption 2016,205-1 Operations assessed for risks related to corruption,"We assess the risks related to corruption in all our activities. For this reason, we consider that 100% of our operations have been analyzed.",,,,11.20.2
Ethics and transparency,GRI 205: Anti-Corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,68,,,,11.20.3
Ethics and transparency,GRI 205: Anti-Corruption 2016,205-3 Confirmed incidents of corruption and actions taken,68,,,,11.20.4
Human talent management and occupational health and safety,GRI 3: Material Topics 2021,3-3 Management of material topics,21,,,,"11.7.1, 11.9.1, 11.10.1, 11.11.1, 11.14.1"
Human talent management and occupational health and safety,GRI 202: Market presence 2016,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,,"a, b, c and d",Confidentiality Restrictions,This information is confidential to us and is not reported in this report.,
Human talent management and occupational health and safety,GRI 202: Market presence 2016,202-2 Proportion of senior management hired from the local community,"During the reporting period, we did not have any senior executives hired from the local community.",,,,"11.11.2, 11.14.3"
Human talent management and occupational health and safety,GRI 401: Employment 2016,401-1 New Employee hires and employee turnover,23,,,,11.10.2
Human talent management and occupational health and safety,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,28,,,,11.10.3
Human talent management and occupational health and safety,GRI 401: Employment 2016,401-3 Parental leave,28,,,,"11.10.4, 11.11.3"
Human talent management and occupational health and safety,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,"We keep our employees informed about any operational changes that may affect them. We communicate these modifications in a timely and transparent manner, through internal channels such as the “Connected” mailbox.",,,,"11.7.2, 11.10.5"
Human talent management and occupational health and safety,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,26,,,,"11.10.6, 11.11.4"
Human talent management and occupational health and safety,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,26,,,,"11.7.3, 11.10.7"
Human talent management and occupational health and safety,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,27,,,,
Human talent management and occupational health and safety,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,21,a,Unavailable or incomplete information,"A nivel de nuestro Directorio, At the level of our Board of Directors, 37.5% of the members are women. We do not have disaggregated information on membership in minority or vulnerable groups.",11.11.5
Human talent management and occupational health and safety,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,,,Confidentiality Restrictions,Information is confidential to us and is not reported in this report.,11.11.6
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,29,,,,11.9.2
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation",31,,,,11.9.3
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,35,,,,11.9.4
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation and communication on occupational health and safety",31,,,,11.9.5
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-5 Workers training on occupational health and safety,32,,,,11.9.6
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-6 Promoting of worker health,35,,,,11.9.7
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,31,,,,11.9.8
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,29,,,,11.9.9
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,33,,,,11.9.10
Human talent management and occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,"33, 34",,,,11.9.11
Human talent management and occupational health and safety,GRI 11: Oil and Gas Sector 2021,"11.8 Report the total number of Tier 1 and Tier 2 process safety events, and a breakdown of this total by business activity (e.g., exploration, development, production, closure and rehabilitation, refining, processing, transportation, storage)",36,,,,11.8.3
