Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Caring for our people,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,"Caring for our people; Appendix I - GRI Tables: GRI 401.1 New employee hires and employee turnover; p. 73, 138, 140",,,,11.10.2
Caring for our people,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,Caring for our people; p. 84,,,,11.10.3
Caring for our people,GRI 401: Employment 2016,401-3 Parental leave,,Yes,Information unavailable/incomplete,"The data are not available, as the Group does not currently perform any formal calculations in this area.",11.10.4
Caring for our people,GRI 3: Material Topics 2021,3-3 Management of material topics,Caring for our people; p. 66,,,,11.9.1
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"Caring for our people; p. 87, 94",,,,11.9.2
Caring for our people,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation",Caring for our people; p. 90,,,,11.9.3
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,"Caring for our people; p. 90, 97",,,,11.9.4
Caring for our people,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety","Caring for our people; p. 86, 90",,,,11.9.5
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,Caring for our people; p. 97,,,,11.9.6
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,Caring for our people; p. 96,GRI 403.6 (b) is omitted,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",11.9.7
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,Caring for our people; p. 90,,,,11.9.8
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,Caring for our people; p. 87,,,,11.9.9
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,Caring for our people; p. 94,,,,11.9.10
Caring for our people,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,Caring for our people; p. 94,,,,11.9.11
Caring for our people,GRI 3: Material Topics 2021,3-3 Management of material topics,Caring for our people; p. 66,,,,
Caring for our people,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,"Caring for our people; Acting Responsibly; p. 74, 116",,,,11.11.4
Caring for our people,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,Caring for our people; p. 79,,,,11.10.7
Caring for our people,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,Caring for our people; p. 81,,,,
Caring for our people,GRI 3: Material Topics 2021,3-3 Management of material topics,Caring for our people; p. 66,,,,
Caring for our people,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,"Appendix I - GRI Tables: GRI 405.1 Diversity of governance bodies and employees; p. 141, 142, 144",,,,11.11.5
Caring for our people,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,"Appendix I - GRI Tables: GRI 405.2 Ratio of basic salary and remuneration of women to men; p. 145, 146",,,,11.11.6
Caring for our people,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,Caring for our people; p. 67,,,,11.11.7
Caring for our people,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,Caring for our people; p. 70,,,,11.13.2
Caring for our people,GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,Caring for our people; p. 71,,,,
Caring for our people,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,Caring for our people; p. 71,,,,11.12.1
Engaging with Society,GRI 3: Material Topics 2021,3-3 Management of material topics,Engaging with Society; p. 100,,,,11.15.1
Engaging with Society,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",Engaging with Society; p. 100,,,,11.15.2
Engaging with Society,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,Engaging with Society; p. 100,,,,11.15.3
Caring for our people,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,Caring for Our people; p. 99,,,,11.3.3
Caring for our people,GRI 416: Customer Health and Safety 2016,416-2 Incidents of non-compliance concerning the health and safety impacts and services,Caring for Our people; p. 99,,,,
